epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.00942, 0.99758, 0.98200, 0.02041, 1,
  1, 0.08767, 0.97491, 0.96667, 0.02041, 0,
  2, 0.03448, 0.98903, 0.94767, 0.02041, 0,
  3, 0.03383, 0.98959, 0.98433, 0.00000, 1,
  4, 0.03137, 0.99238, 0.95967, 0.02041, 0,
  5, 0.01711, 0.99610, 0.94200, 0.02041, 0,
  6, 0.02323, 0.99517, 0.98367, 0.00000, 0,
  7, 0.02683, 0.99201, 0.96833, 0.02041, 0,
  8, 0.01292, 0.99703, 0.98200, 0.02041, 0,
  9, 0.01615, 0.99498, 0.20000, 1.00000, 0,
 10, 0.01663, 0.99628, 0.98067, 0.02041, 0,
 11, 0.00987, 0.99796, 0.26300, 0.00000, 0,
 12, 0.01024, 0.99740, 0.98467, 0.02041, 1,
 13, 0.01115, 0.99740, 0.98433, 0.00000, 0,
 14, 0.01654, 0.99703, 0.98167, 0.02041, 0,
 15, 0.00833, 0.99777, 0.98333, 0.02041, 0,
 16, 0.01113, 0.99721, 0.56733, 0.00000, 0,
 17, 0.01020, 0.99721, 0.98400, 0.02041, 0,
 18, 0.00684, 0.99833, 0.98167, 0.02041, 0,
 19, 0.01208, 0.99665, 0.98433, 0.02041, 0,
 20, 0.00583, 0.99833, 0.98467, 0.02041, 0,
 21, 0.00552, 0.99870, 0.98400, 0.02041, 0,
 22, 0.00578, 0.99851, 0.98533, 0.02041, 1,
 23, 0.00421, 0.99926, 0.98067, 0.02041, 0,
 24, 0.00434, 0.99870, 0.96867, 0.02041, 0,
 25, 0.00498, 0.99870, 0.98133, 0.02041, 0,
 26, 0.00480, 0.99851, 0.98267, 0.02041, 0,
 27, 0.00427, 0.99888, 0.98067, 0.02041, 0,
 28, 0.00586, 0.99851, 0.20000, 1.00000, 0,
 29, 0.00553, 0.99888, 0.97867, 0.02041, 0,
 30, 0.00334, 0.99907, 0.98433, 0.02041, 0,
 31, 0.00561, 0.99851, 0.98167, 0.02041, 0,
 32, 0.00352, 0.99907, 0.97167, 0.02041, 0,
 33, 0.00262, 0.99926, 0.19900, 0.00000, 0,
 34, 0.00503, 0.99870, 0.98333, 0.02041, 0,
 35, 0.00425, 0.99888, 0.98400, 0.02041, 0,
 36, 0.00266, 0.99907, 0.98433, 0.02041, 0,
 37, 0.00206, 0.99926, 0.20000, 1.00000, 0,
 38, 0.00367, 0.99870, 0.98000, 0.02041, 0,
 39, 0.00321, 0.99907, 0.98400, 0.02041, 0,
 40, 0.00327, 0.99926, 0.98000, 0.02041, 0,
 41, 0.00396, 0.99926, 0.98367, 0.02041, 0,
 42, 0.00162, 0.99944, 0.98100, 0.02041, 0,
 43, 0.00319, 0.99926, 0.98300, 0.02041, 0,
 44, 0.00179, 0.99944, 0.97967, 0.02041, 0,
 45, 0.00225, 0.99944, 0.97133, 0.02041, 0,
 46, 0.00266, 0.99870, 0.98500, 0.02041, 0,
 47, 0.00219, 0.99907, 0.97100, 0.02041, 0,
 48, 0.00200, 0.99944, 0.98233, 0.02041, 0,
 49, 0.00217, 0.99963, 0.98367, 0.02041, 0,
